"Points:0","Points:1","Points:2","Q-criterion","U:0","U:1","U:2"
0.060519,-0.039232,0.03,2514.5,-0.022464,-0.023746,2.0898e-13
0.060568,-0.039273,0.03,-1.4207e+05,-0.022479,-0.023776,1.0449e-13
0.060513,-0.039239,0.03,1349.6,-0.012235,-0.031447,-1.2599e-23
0.060569,-0.039282,0.03,-1.4683e+05,-0.015485,-0.029071,7.4857e-23
0.060459,-0.039193,0.03,6307.6,-0.013785,-0.031119,-4.5398e-23
0.060466,-0.039186,0.03,-808.09,-0.022438,-0.023715,1.5674e-13
0.06062,-0.039227,0.03,-62248,-0.020525,-0.027365,7.7852e-23
0.060612,-0.039227,0.03,-20238,-0.022464,-0.02379,1.0449e-13
0.06057,-0.039291,0.03,-68166,-0.0095939,-0.033677,1.714e-23
0.060507,-0.039248,0.03,6457.8,-0.0022572,-0.039139,-9.9877e-23
0.0604,-0.039142,0.03,-771.16,-0.01402,-0.030812,-3.8824e-23
0.060407,-0.039135,0.03,-536.75,-0.022408,-0.023681,5.2245e-14
0.060451,-0.039202,0.03,8761.6,-0.0043285,-0.038988,-1.5832e-23
0.060567,-0.039181,0.03,-6591.4,-0.022434,-0.023774,5.2245e-14
0.060575,-0.039174,0.03,-651.61,-0.021824,-0.025704,-6.854e-23
0.06063,-0.039228,0.03,-55292,-0.019152,-0.029975,2.3642e-23
0.060572,-0.039301,0.03,-43643,-0.0038321,-0.037928,6.6253e-23
0.0605,-0.039259,0.03,10144,0.0079355,-0.046776,4.4091e-23
0.060335,-0.039087,0.03,-393.91,-0.014771,-0.03013,1.1468e-22
0.060342,-0.039079,0.03,-518.48,-0.022376,-0.023644,1.5674e-13
0.060392,-0.039152,0.03,-574.56,-0.0050225,-0.038319,3.9086e-23
0.060442,-0.039213,0.03,10905,0.0060299,-0.047406,7.8765e-23
0.060518,-0.03913,0.03,-211.11,-0.022405,-0.023746,1.0449e-13
0.060526,-0.039123,0.03,54.574,-0.022491,-0.023624,-7.3653e-23
0.060583,-0.039167,0.03,-798.16,-0.021209,-0.027453,-4.6436e-23
0.06064,-0.039229,0.03,-45867,-0.018011,-0.032379,2.1979e-23
0.060575,-0.039313,0.03,-25675,0.0018844,-0.041935,-5.785e-23
0.060493,-0.039271,0.03,13033,0.018145,-0.054183,8.7082e-23
0.060264,-0.039025,0.03,-405.88,-0.015188,-0.029719,1.0496e-22
0.060271,-0.039017,0.03,-509.98,-0.022341,-0.023603,1.5674e-13
0.060328,-0.039095,0.03,-140.22,-0.0065275,-0.037043,3.0951e-24
0.060383,-0.039162,0.03,-342.52,0.0048364,-0.046362,1.1411e-22
0.060432,-0.039226,0.03,12219,0.016972,-0.056047,3.5796e-23
0.060465,-0.039074,0.03,5.7959,-0.022373,-0.023715,1.5674e-13
0.060472,-0.039067,0.03,3.3881,-0.022106,-0.024016,-1.0885e-23
0.060535,-0.039114,0.03,237.69,-0.02234,-0.023879,-9.5891e-24
0.060594,-0.039159,0.03,-1487,-0.020778,-0.029311,3.7644e-24
0.060651,-0.039231,0.03,-34565,-0.016989,-0.034662,-1.4567e-22
0.060578,-0.039325,0.03,-16492,0.0074638,-0.045738,1.6403e-22
0.060486,-0.039285,0.03,14790,0.028127,-0.061256,-2.6282e-23
0.060185,-0.038957,0.03,-446.33,-0.015596,-0.0293,-8.2125e-24
0.060192,-0.03895,0.03,-486.48,-0.022302,-0.023558,5.2245e-14
0.060256,-0.039034,0.03,-182.97,-0.0074617,-0.036242,-9.7863e-25
0.060318,-0.039106,0.03,241.19,0.0026034,-0.044561,-2.4107e-23
0.060372,-0.039174,0.03,72.875,0.01541,-0.054773,7.0942e-23
0.060421,-0.03924,0.03,12580,0.028154,-0.064599,-6.398e-23
0.060405,-0.039012,0.03,0.83948,-0.022338,-0.023681,5.2245e-14
0.060412,-0.039005,0.03,-15.117,-0.02241,-0.023633,1.2255e-24
0.06048,-0.039058,0.03,-11.361,-0.021863,-0.024319,-2.7443e-24
0.060545,-0.039105,0.03,254.57,-0.022018,-0.024473,6.2156e-24
0.060605,-0.039152,0.03,-2161.1,-0.02057,-0.031218,-2.0848e-24
0.060664,-0.039234,0.03,-26267,-0.016056,-0.036704,1.2217e-22
0.060583,-0.039338,0.03,-11173,0.01278,-0.049296,-5.0375e-23
0.060479,-0.0393,0.03,15359,0.037705,-0.067899,-7.2052e-23
0.060099,-0.038883,0.03,-438.61,-0.015919,-0.028943,4.5697e-25
0.060105,-0.038875,0.03,-468.16,-0.022259,-0.023508,5.2245e-14
0.060178,-0.038966,0.03,-337.28,-0.0083565,-0.03543,-2.3138e-24
0.060247,-0.039044,0.03,106.55,0.0010784,-0.043348,-5.7971e-23
0.060308,-0.039118,0.03,745.97,0.012534,-0.052574,3.6528e-23
0.060359,-0.039189,0.03,721.87,0.026482,-0.063358,-6.4746e-23
0.060409,-0.039257,0.03,12296,0.039279,-0.072817,-9.9674e-24
0.06034,-0.038944,0.03,-11.131,-0.022299,-0.023643,0
0.060347,-0.038937,0.03,-20.407,-0.022453,-0.023503,-8.2553e-23
0.060421,-0.038997,0.03,-36.797,-0.022499,-0.023615,1.4119e-24
0.06049,-0.039048,0.03,-57.956,-0.021673,-0.024664,7.8439e-24
0.060557,-0.039094,0.03,83.918,-0.021653,-0.025337,-9.2665e-23
0.060619,-0.039144,0.03,-2651.4,-0.020584,-0.032997,-1.9562e-23
0.060678,-0.039238,0.03,-21435,-0.015218,-0.038421,1.2118e-23
0.060588,-0.039351,0.03,-7109.5,0.01784,-0.052604,-1.7416e-22
0.060473,-0.039317,0.03,15144,0.046796,-0.074032,-2.2199e-24
0.060003,-0.038801,0.03,-432.2,-0.016211,-0.028602,-4.6718e-23
0.06001,-0.038793,0.03,-448.06,-0.022212,-0.023453,1.0449e-13
0.060091,-0.038891,0.03,-355.72,-0.0090906,-0.034741,1.8952e-25
0.060169,-0.038976,0.03,-192.23,-0.00035806,-0.042121,1.4532e-24
0.060237,-0.039056,0.03,440.34,0.010382,-0.050959,-4.7496e-23
0.060295,-0.039132,0.03,1291,0.02311,-0.060935,3.1731e-24
0.060345,-0.039205,0.03,1519.3,0.037782,-0.071903,-2.8273e-23
0.060396,-0.039276,0.03,11702,0.050088,-0.080527,7.7662e-23
0.060268,-0.03887,0.03,-21.826,-0.022256,-0.023602,0
0.060275,-0.038863,0.03,-31.035,-0.022565,-0.023299,-8.4819e-23
0.060355,-0.038929,0.03,-30.473,-0.022638,-0.023358,-3.2865e-24
0.060431,-0.038987,0.03,-93.989,-0.022622,-0.023643,3.4718e-25
0.060502,-0.039037,0.03,-164.37,-0.021573,-0.025073,-9.081e-23
0.060571,-0.039082,0.03,-280.57,-0.021381,-0.026377,4.451e-23
0.060634,-0.039137,0.03,-3001.8,-0.020795,-0.034548,-9.9197e-24
0.060691,-0.039242,0.03,-17357,-0.01443,-0.039886,-1.6763e-22
