"Points:0","Points:1","Points:2","Q-criterion","U:0","U:1","U:2"
0.07595,-0.0046028,0.03,968.33,-0.0031482,-0.038931,0
0.076014,-0.004605,0.03,-55266,-0.0031389,-0.038966,-4.0875e-14
0.07595,-0.0046126,0.03,1148.9,0.0056709,-0.038667,3.0533e-24
0.07602,-0.004611,0.03,-61298,0.002859,-0.038707,1.9399e-24
0.075879,-0.0046107,0.03,2748.4,0.0047265,-0.039128,1.202e-25
0.07588,-0.0046005,0.03,-611.27,-0.0031466,-0.038883,4.0875e-14
0.076026,-0.0045362,0.03,-25745,-0.0010151,-0.039859,2.3917e-23
0.076019,-0.0045412,0.03,-6176.8,-0.0031161,-0.038968,-4.0875e-14
0.076027,-0.0046174,0.03,-27834,0.0080329,-0.038569,7.7511e-25
0.075951,-0.0046238,0.03,3858.3,0.014426,-0.038493,3.5545e-24
0.075802,-0.004608,0.03,-588.21,0.0045093,-0.039042,1.9789e-25
0.075802,-0.0045979,0.03,-473.35,-0.0031448,-0.03883,-4.0875e-14
0.075879,-0.0046228,0.03,4055.3,0.013279,-0.039284,1.1952e-24
0.075956,-0.0045331,0.03,-2564.2,-0.0031004,-0.038935,-4.0875e-14
0.075957,-0.0045234,0.03,-892.84,-0.0028058,-0.039561,2.4679e-23
0.076034,-0.0045309,0.03,-23555,0.00044468,-0.040535,5.788e-25
0.076035,-0.0046241,0.03,-17481,0.013022,-0.038299,0
0.075952,-0.0046364,0.03,5885,0.023354,-0.038183,1.1948e-25
0.075716,-0.0046051,0.03,-395.2,0.0038232,-0.038974,6.7843e-25
0.075716,-0.004595,0.03,-446.74,-0.0031428,-0.038771,-4.0875e-14
0.075801,-0.0046201,0.03,-481.6,0.012685,-0.039201,1.44e-24
0.075879,-0.0046369,0.03,5265.5,0.022626,-0.039348,-7.8309e-26
0.075886,-0.0045241,0.03,-379.54,-0.0030943,-0.038887,0
0.075887,-0.004514,0.03,-256.23,-0.0040891,-0.038744,-2.3221e-24
0.07596,-0.0045125,0.03,-1371,-0.0025553,-0.040111,9.9676e-26
0.076043,-0.0045256,0.03,-20285,0.0017367,-0.041226,-1.7773e-23
0.076044,-0.0046312,0.03,-9785.5,0.017909,-0.037917,0
0.075954,-0.0046503,0.03,7497.2,0.032276,-0.037732,-9.7503e-24
0.075622,-0.0046019,0.03,-382.19,0.0034329,-0.038906,1.3022e-25
0.075622,-0.0045918,0.03,-432.89,-0.0031406,-0.038707,-8.1749e-14
0.075715,-0.004617,0.03,-265.12,0.011336,-0.039136,8.6011e-25
0.0758,-0.0046342,0.03,-366.83,0.021606,-0.039277,-8.1558e-26
0.075878,-0.0046531,0.03,6105,0.032481,-0.039279,-9.8118e-24
0.075809,-0.0045143,0.03,-44.021,-0.0030875,-0.038835,-8.1749e-14
0.07581,-0.0045042,0.03,-38.169,-0.0036832,-0.038764,-1.0878e-23
0.075889,-0.004502,0.03,-433.05,-0.0048491,-0.038695,-1.0597e-23
0.075963,-0.0045002,0.03,-2092.7,-0.0023439,-0.04081,-3.9692e-23
0.076053,-0.00452,0.03,-15806,0.0029554,-0.04193,4.7564e-25
0.076055,-0.0046388,0.03,-5902,0.022655,-0.037483,2.9006e-23
0.075957,-0.0046653,0.03,8539.7,0.041008,-0.037187,2.8191e-23
0.075518,-0.0045983,0.03,-392.72,0.0030388,-0.038827,2.851e-26
0.075518,-0.0045883,0.03,-412.44,-0.0031382,-0.038635,-1.2262e-13
0.075621,-0.0046136,0.03,-259.5,0.010505,-0.039081,-3.9956e-25
0.075715,-0.0046308,0.03,-82.2,0.019625,-0.039239,-3.9416e-26
0.0758,-0.0046506,0.03,-159.14,0.031144,-0.039243,-6.1524e-26
0.075879,-0.0046716,0.03,6470.3,0.042534,-0.039051,1.4699e-25
0.075724,-0.0045035,0.03,-51.894,-0.0030801,-0.038776,-8.1749e-14
0.075725,-0.0044935,0.03,-57.145,-0.0039034,-0.038675,7.132e-24
0.075811,-0.0044923,0.03,-43.113,-0.0043371,-0.038693,-9.1705e-25
0.075891,-0.004488,0.03,-656.23,-0.0054373,-0.038746,-2.158e-23
0.075967,-0.0044868,0.03,-2698.7,-0.0022027,-0.041653,-5.1214e-25
0.076065,-0.0045142,0.03,-12307,0.00406,-0.042571,1.0567e-24
0.076066,-0.0046462,0.03,-3706.6,0.027175,-0.037032,2.945e-24
0.075962,-0.0046815,0.03,8947.4,0.049406,-0.036571,1.0417e-23
0.075404,-0.0045944,0.03,-379.87,0.002717,-0.038741,2.7821e-24
0.075404,-0.0045845,0.03,-395.14,-0.0031356,-0.038557,-8.1749e-14
0.075518,-0.0046098,0.03,-326,0.0096809,-0.039,2.5048e-24
0.075621,-0.0046272,0.03,-109.01,0.018296,-0.039218,-3.7515e-26
0.075714,-0.0046469,0.03,170.13,0.028616,-0.039264,2.6759e-24
0.075799,-0.0046696,0.03,177.42,0.04112,-0.039083,1.1197e-24
0.07588,-0.0046923,0.03,6491.3,0.052519,-0.038655,8.4123e-24
0.07563,-0.0044916,0.03,-55.555,-0.003072,-0.038712,0
0.075631,-0.0044816,0.03,-53.113,-0.0038484,-0.038613,1.553e-23
0.075726,-0.0044817,0.03,-59.227,-0.0047638,-0.03858,-2.6302e-23
0.075813,-0.0044782,0.03,-76.705,-0.0050623,-0.038645,1.0621e-23
0.075893,-0.0044719,0.03,-944.61,-0.0059173,-0.038922,7.0712e-24
0.075973,-0.0044724,0.03,-3046.6,-0.0021964,-0.042554,2.2284e-23
0.076078,-0.0045087,0.03,-10241,0.0050063,-0.043109,8.39e-25
0.076079,-0.0046535,0.03,-2017.7,0.031468,-0.036559,2.2162e-23
0.075968,-0.0046987,0.03,8916,0.057374,-0.035878,-5.0234e-24
0.075278,-0.0045901,0.03,-369.02,0.0024185,-0.038648,-2.1589e-24
0.075279,-0.0045802,0.03,-377.78,-0.0031327,-0.038471,4.0875e-14
0.075403,-0.0046058,0.03,-326.31,0.0089985,-0.038914,3.3463e-24
0.075517,-0.0046232,0.03,-248.15,0.016997,-0.039148,-3.8258e-24
0.07562,-0.0046429,0.03,68.549,0.026762,-0.039298,4.3909e-25
0.075713,-0.0046656,0.03,460.67,0.038185,-0.039195,4.8196e-24
0.075798,-0.0046913,0.03,616.01,0.051312,-0.038791,3.0262e-24
0.075882,-0.0047151,0.03,6331.6,0.062214,-0.038101,-2.9908e-23
0.075527,-0.0044785,0.03,-53.689,-0.003063,-0.038641,0
0.075528,-0.0044686,0.03,-51.446,-0.0038349,-0.038542,-3.1177e-24
0.075633,-0.00447,0.03,-55.428,-0.0046822,-0.038505,-1.9105e-23
0.075728,-0.0044679,0.03,-74.658,-0.0056832,-0.038495,-9.1512e-24
0.075815,-0.0044619,0.03,-147.88,-0.0058445,-0.038648,8.355e-24
0.075896,-0.0044538,0.03,-1252,-0.0063635,-0.039236,3.8736e-24
0.07598,-0.0044572,0.03,-3205.7,-0.0023488,-0.043452,3.4683e-23
0.076091,-0.0045036,0.03,-8447.3,0.0058448,-0.043558,-9.5209e-23
0.076092,-0.0046605,0.03,-734.74,0.03558,-0.036054,7.1715e-24
0.075976,-0.0047167,0.03,8559.3,0.064883,-0.035113,1.7923e-24
