"Points:0","Points:1","Points:2","Q-criterion","U:0","U:1","U:2"
0.076136,-3.4999e-05,0.03,33.87,2.1691e-10,2.6956e-07,-7.5215e-14
0.0762,-3.201e-05,0.03,-1868.7,1.0482e-10,2.7034e-07,-7.5215e-14
0.076137,-4.4779e-05,0.03,-9.0567,0.0015874,0.00012631,1.3706e-23
0.076207,-3.7507e-05,0.03,-2234.4,0.00093395,5.4942e-05,1.2975e-23
0.076066,-4.852e-05,0.03,63.759,0.0015537,7.3061e-05,1.4268e-25
0.076066,-3.8289e-05,0.03,-2.9838,2.3232e-10,2.6923e-07,-7.5215e-14
0.076207,3.7495e-05,0.03,-794.65,0.00049574,-0.00011353,1.2504e-24
0.0762,3.1998e-05,0.03,-453.77,-1.0458e-10,2.7034e-07,-5.6411e-14
0.076214,-4.3387e-05,0.03,-1348.6,0.0018354,9.9484e-05,1.3043e-23
0.076138,-5.5828e-05,0.03,27.189,0.0032545,0.00025107,1.2165e-23
0.075988,-5.2096e-05,0.03,-4.1166,0.0015286,7.6467e-05,-8.4585e-25
0.075988,-4.191e-05,0.03,0.88396,2.4941e-10,2.6886e-07,-5.6411e-14
0.076067,-6.0571e-05,0.03,96.685,0.0032972,0.00016591,-1.5252e-25
0.076136,3.4987e-05,0.03,-20.096,-2.1672e-10,2.6956e-07,-1.8804e-14
0.076137,4.4766e-05,0.03,37.988,0.00063029,-8.4057e-05,2.3936e-24
0.076214,4.3374e-05,0.03,-893.21,0.00096025,-0.0002143,-5.7261e-24
0.076222,-4.9427e-05,0.03,-1084.7,0.0027771,0.00016513,-1.1794e-23
0.07614,-6.8329e-05,0.03,74.875,0.0050564,0.00040156,-1.1666e-23
0.075903,-5.6004e-05,0.03,2.292,0.0014446,7.0749e-05,-5.2387e-24
0.075902,-4.5894e-05,0.03,0.42326,2.6826e-10,2.6845e-07,-5.6411e-14
0.075989,-6.4114e-05,0.03,-4.6276,0.0032309,0.00016871,3.1405e-24
