"Points:0","Points:1","Points:2","Q-criterion","U:0","U:1","U:2"
0.068573,-0.028395,0.03,3112,-0.019555,-0.034106,-6.5523e-14
0.06863,-0.028424,0.03,-1.4779e+05,-0.019561,-0.034142,-6.5523e-14
0.068569,-0.028404,0.03,5935.8,-0.0064502,-0.039702,-7.1073e-25
0.068633,-0.028432,0.03,-1.5811e+05,-0.010283,-0.037723,0
0.068506,-0.028372,0.03,8138.1,-0.0083978,-0.039719,-1.3295e-24
0.06851,-0.028363,0.03,-1034.3,-0.019533,-0.034063,6.5523e-14
0.06867,-0.028367,0.03,-78215,-0.016536,-0.037056,-1.8205e-24
0.068662,-0.028369,0.03,-28036,-0.019541,-0.034154,-6.5523e-14
0.068636,-0.028441,0.03,-64484,-0.0025648,-0.040864,0
0.068565,-0.028415,0.03,14046,0.0062172,-0.04528,0
0.068436,-0.028337,0.03,-953.34,-0.0087638,-0.039431,3.1525e-23
0.068441,-0.028328,0.03,-712.19,-0.019508,-0.034015,0
0.0685,-0.028383,0.03,11238,0.0036022,-0.045592,-2.4442e-24
0.068608,-0.028335,0.03,-6367.3,-0.019513,-0.034131,-6.5523e-14
0.068613,-0.028326,0.03,-1978.2,-0.018967,-0.035678,6.4128e-23
0.06868,-0.028366,0.03,-65965,-0.014474,-0.0391,-1.2906e-25
0.068641,-0.028451,0.03,-36679,0.0047963,-0.043638,4.4651e-23
0.06856,-0.028426,0.03,18891,0.018944,-0.050641,4.4651e-23
0.06836,-0.028298,0.03,-528.52,-0.0097838,-0.038871,6.1765e-23
0.068365,-0.028289,0.03,-680.62,-0.019481,-0.033963,-1.3105e-13
0.068431,-0.028347,0.03,-648.44,0.0026061,-0.045026,-2.0489e-25
0.068494,-0.028396,0.03,13829,0.016556,-0.051723,-1.0096e-25
0.068548,-0.028297,0.03,-747.77,-0.019487,-0.034089,6.5523e-14
0.068554,-0.028288,0.03,-401.01,-0.020376,-0.0335,6.7767e-23
0.06862,-0.028318,0.03,-2926.3,-0.018487,-0.037006,-5.7075e-23
0.06869,-0.028365,0.03,-52913,-0.012764,-0.040998,1.6914e-24
0.068646,-0.028461,0.03,-17445,0.011944,-0.04614,-9.0213e-23
0.068556,-0.02844,0.03,22000,0.031466,-0.055653,2.4282e-23
0.068276,-0.028255,0.03,-535.19,-0.010367,-0.038517,-1.2004e-23
0.068281,-0.028246,0.03,-665.31,-0.019452,-0.033905,-6.5523e-14
0.068355,-0.028308,0.03,-216.19,0.00059446,-0.044012,4.4639e-24
0.068424,-0.02836,0.03,-310.1,0.014878,-0.050878,-1.1717e-26
0.068487,-0.02841,0.03,15294,0.030009,-0.057831,-3.1166e-23
0.068483,-0.028255,0.03,-38.284,-0.019458,-0.034044,-6.5523e-14
0.068488,-0.028246,0.03,-39.377,-0.019894,-0.03379,5.5579e-23
0.06856,-0.028278,0.03,-689.6,-0.020971,-0.033239,-5.5158e-23
0.068628,-0.028308,0.03,-4617,-0.018225,-0.038468,-6.4644e-23
0.068701,-0.028364,0.03,-38733,-0.011243,-0.042804,-1.1455e-22
0.068652,-0.028473,0.03,-8177.7,0.018796,-0.048441,-5.0335e-23
0.068553,-0.028455,0.03,23354,0.043496,-0.060281,-3.9279e-23
0.068184,-0.028207,0.03,-581.81,-0.010935,-0.038156,-3.919e-24
0.068189,-0.028198,0.03,-632.44,-0.019419,-0.033841,-1.3105e-13
0.068271,-0.028265,0.03,-258.36,-0.00066754,-0.043365,2.4846e-24
0.068348,-0.02832,0.03,233.83,0.011936,-0.049488,-2.6885e-23
0.068416,-0.028374,0.03,228.88,0.027824,-0.056834,-3.3788e-23
0.068479,-0.028427,0.03,15496,0.043504,-0.063671,-2.8139e-24
0.06841,-0.028209,0.03,-63.127,-0.019427,-0.033994,-1.9657e-13
0.068416,-0.0282,0.03,-86.853,-0.020316,-0.03345,5.3098e-23
0.068494,-0.028236,0.03,-63.975,-0.020407,-0.033522,3.6201e-24
0.068568,-0.028266,0.03,-1159.1,-0.021368,-0.03327,-6.6366e-23
0.068638,-0.028298,0.03,-5922.9,-0.018223,-0.040022,2.194e-24
0.068715,-0.028364,0.03,-28312,-0.0099059,-0.044381,-8.5889e-23
0.06866,-0.028484,0.03,-3253.8,0.025217,-0.050551,8.5013e-23
0.06855,-0.028471,0.03,23044,0.054841,-0.064495,-1.8959e-23
0.068082,-0.028155,0.03,-567.26,-0.011394,-0.037841,1.2237e-23
0.068087,-0.028146,0.03,-604.48,-0.019383,-0.033771,-1.3105e-13
0.068178,-0.028217,0.03,-440.13,-0.0018761,-0.042702,3.7144e-23
0.068264,-0.028277,0.03,84.328,0.0099231,-0.048553,-2.6927e-23
0.06834,-0.028335,0.03,822.27,0.024092,-0.055195,-2.5093e-23
0.068407,-0.028391,0.03,1004.5,0.041147,-0.062736,-5.0424e-24
0.068471,-0.028446,0.03,14857,0.056672,-0.069075,2.8896e-23
0.068331,-0.028158,0.03,-79.922,-0.019392,-0.033939,-6.5523e-14
0.068336,-0.02815,0.03,-88.471,-0.02037,-0.033331,7.7168e-23
0.068422,-0.02819,0.03,-117.31,-0.021261,-0.032917,-8.9148e-23
0.068502,-0.028224,0.03,-174.46,-0.02103,-0.033277,-5.123e-23
0.068577,-0.028253,0.03,-1824.8,-0.021702,-0.033565,5.073e-24
0.068649,-0.028287,0.03,-6526.3,-0.018507,-0.041484,-7.8311e-23
0.068728,-0.028364,0.03,-22088,-0.0087755,-0.045648,9.1286e-23
0.068668,-0.028496,0.03,181.33,0.031233,-0.052464,7.2799e-25
0.068548,-0.02849,0.03,21780,0.065423,-0.06825,1.0176e-24
0.06797,-0.028098,0.03,-554.43,-0.011808,-0.037536,-2.5468e-23
0.067975,-0.028089,0.03,-575.77,-0.019344,-0.033694,-6.5523e-14
0.068077,-0.028165,0.03,-457.45,-0.0028749,-0.042131,8.8944e-24
0.068172,-0.028229,0.03,-265.65,0.0080202,-0.047585,-3.2947e-23
0.068257,-0.028291,0.03,470.84,0.021305,-0.053999,-2.1828e-23
0.068331,-0.028351,0.03,1447.3,0.036837,-0.061003,-3.7536e-24
0.068397,-0.02841,0.03,1902.8,0.054511,-0.06843,2.8829e-23
0.068464,-0.028468,0.03,13842,0.06923,-0.073948,-6.4973e-25
0.068243,-0.028103,0.03,-90.215,-0.019353,-0.033879,8.3955e-28
0.068249,-0.028094,0.03,-98.828,-0.020498,-0.033162,1.3709e-22
0.068342,-0.02814,0.03,-103.95,-0.021428,-0.032697,-9.098e-23
0.068429,-0.028179,0.03,-202.89,-0.022295,-0.0324,-1.4091e-22
0.06851,-0.02821,0.03,-400.18,-0.021781,-0.033103,2.8268e-24
0.068588,-0.028237,0.03,-2569.6,-0.022116,-0.034069,-2.5935e-24
0.068662,-0.028276,0.03,-6648.4,-0.019054,-0.04275,4.6085e-23
0.068742,-0.028365,0.03,-17062,-0.0077719,-0.046674,6.1689e-23
0.068676,-0.028508,0.03,2576,0.036935,-0.054202,-1.2789e-22
0.068548,-0.028509,0.03,19964,0.075243,-0.071557,2.5197e-24
0.067847,-0.028034,0.03,-533.3,-0.012175,-0.037246,2.8645e-23
0.067852,-0.028026,0.03,-548.55,-0.0193,-0.033609,-6.5523e-14
0.067965,-0.028108,0.03,-475.16,-0.0037824,-0.041589,-2.799e-23
0.068071,-0.028177,0.03,-331.59,0.0064203,-0.046747,-1.1335e-22
0.068165,-0.028243,0.03,-37.328,0.018684,-0.052745,-3.1803e-23
0.068248,-0.028307,0.03,838.8,0.033326,-0.0596,3.296e-23
0.068321,-0.02837,0.03,1975.4,0.049887,-0.066767,2.0347e-23
0.068386,-0.028432,0.03,2711.9,0.067572,-0.073776,-1.9337e-23
0.068456,-0.028492,0.03,12592,0.08099,-0.078261,-2.5053e-26
0.068147,-0.028041,0.03,-100.76,-0.019311,-0.033812,3.9927e-28
0.068152,-0.028033,0.03,-104.85,-0.020553,-0.03303,-1.5311e-23
0.068255,-0.028084,0.03,-104.47,-0.021724,-0.032414,-8.3406e-23
0.068349,-0.028128,0.03,-150.13,-0.022606,-0.03203,-8.9699e-23
0.068438,-0.028165,0.03,-349.18,-0.023421,-0.031924,1.205e-24
0.06852,-0.028194,0.03,-741.94,-0.022679,-0.033046,2.8522e-25
0.0686,-0.028221,0.03,-3239.2,-0.022718,-0.03472,5.6232e-23
0.068676,-0.028265,0.03,-6428.6,-0.019828,-0.043829,7.0031e-23
0.068757,-0.028367,0.03,-13084,-0.0068195,-0.047522,-1.3083e-22
0.068686,-0.02852,0.03,4209.8,0.042367,-0.055781,-1.4728e-22
0.068549,-0.028531,0.03,17849,0.084307,-0.074448,-2.2139e-23
0.067712,-0.027965,0.03,-512.3,-0.012505,-0.036962,8.6756e-24
0.067716,-0.027956,0.03,-522.84,-0.019252,-0.033515,5.5192e-29
0.067842,-0.028044,0.03,-468.35,-0.0045942,-0.041082,3.2141e-23
0.067959,-0.028119,0.03,-393.23,0.0049662,-0.045952,-8.0358e-23
0.068064,-0.02819,0.03,-172.2,0.016442,-0.051642,-6.134e-23
0.068156,-0.028258,0.03,226.73,0.030002,-0.0581,3.5084e-23
0.068238,-0.028325,0.03,1139,0.045777,-0.065232,2.388e-23
0.068309,-0.028392,0.03,2318.4,0.062921,-0.072329,-5.1407e-23
0.068375,-0.028457,0.03,3246.1,0.080038,-0.078663,-1.5852e-24
0.06845,-0.028518,0.03,11184,0.091835,-0.082012,-1.9747e-24
0.068041,-0.027974,0.03,-107.87,-0.019264,-0.033739,0
0.068046,-0.027966,0.03,-109.93,-0.020587,-0.032903,6.5203e-23
0.068158,-0.028023,0.03,-106.7,-0.021884,-0.032205,-8.4776e-23
0.068262,-0.028073,0.03,-129.5,-0.023074,-0.031621,-1.1193e-24
0.068358,-0.028115,0.03,-227.7,-0.023904,-0.03135,3.4736e-24
0.068447,-0.028149,0.03,-559.42,-0.024638,-0.031517,6.948e-23
0.068532,-0.028175,0.03,-1150.6,-0.023747,-0.033131,-4.045e-23
0.068615,-0.028203,0.03,-3721.5,-0.023575,-0.035454,7.3403e-24
0.068693,-0.028255,0.03,-5921.7,-0.020809,-0.044721,-6.3132e-23
0.068773,-0.028369,0.03,-9797.5,-0.0058694,-0.048224,-1.2544e-22
0.068697,-0.028533,0.03,5238.8,0.047546,-0.057212,1.0045e-22
0.068551,-0.028554,0.03,15695,0.092612,-0.076952,-3.1704e-24
0.067563,-0.027888,0.03,-490.88,-0.012803,-0.036682,-3.2649e-23
0.067568,-0.02788,0.03,-498.42,-0.019199,-0.033412,-6.5523e-14
0.067707,-0.027975,0.03,-458.47,-0.0053355,-0.040597,5.4328e-23
0.067836,-0.028056,0.03,-406.23,0.0036587,-0.045213,-2.8047e-23
